X,Y,concentration,v_x,v_y,v_z
2.3925,0.0435,0.00395,0.0047,0.04407,-0.002
2.4215,0.0435,0.00394,0.00517,0.04442,-0.00187
2.4505,0.0435,0.00394,0.00564,0.04495,-0.00172
2.4795,0.0435,0.00393,0.00585,0.04541,-0.00161
2.5085,0.0435,0.00393,0.00631,0.04604,-0.00154
2.5375,0.0435,0.00392,0.00636,0.04649,-0.00148
2.5665,0.0435,0.00392,0.00635,0.0469,-0.00148
2.5955,0.0435,0.00391,0.00688,0.04742,-0.00169
2.6245,0.0435,0.0039,0.00684,0.04769,-0.00179
2.6535,0.0435,0.0039,0.00701,0.04793,-0.00202
2.6825,0.0435,0.00388,0.00814,0.04852,-0.00259
2.7115,0.0435,0.00388,0.00857,0.04874,-0.00288
2.7405,0.0435,0.00386,0.00949,0.04902,-0.00325
2.7695,0.0435,0.00384,0.01171,0.05007,-0.00408
2.7985,0.0435,0.00383,0.01315,0.05037,-0.00448
2.8275,0.0435,0.00381,0.01509,0.05068,-0.00502
2.8565,0.0435,0.00378,0.01822,0.05209,-0.0058
2.8855,0.0435,0.00376,0.02088,0.05265,-0.00648
2.9145,0.0435,0.00374,0.02366,0.05323,-0.00693
2.9435,0.0435,0.00371,0.02668,0.05405,-0.00721
2.9725,0.0435,0.00369,0.03009,0.05555,-0.0072
3.0015,0.0435,0.00366,0.03323,0.05661,-0.00708
3.0305,0.0435,0.00364,0.03627,0.05757,-0.00688
3.0595,0.0435,0.00361,0.03916,0.0586,-0.0063
3.0885,0.0435,0.00359,0.04163,0.05951,-0.00543
3.1175,0.0435,0.00357,0.04389,0.06045,-0.00477
3.1465,0.0435,0.00354,0.04582,0.06152,-0.00418
3.1755,0.0435,0.00351,0.04718,0.06246,-0.00337
3.2045,0.0435,0.00349,0.04759,0.06307,-0.00209
3.2335,0.0435,0.00346,0.04803,0.06434,-0.0012
3.2625,0.0435,0.00343,0.04712,0.0655,0.00019
3.2915,0.0435,0.0034,0.04572,0.06705,0.0017
3.3205,0.0435,0.00336,0.0434,0.06966,0.0031
3.3495,0.0435,0.00331,0.03939,0.07389,0.00473
3.3785,0.0435,0.00323,0.0344,0.0792,0.0071
3.4075,0.0435,0.00311,0.0281,0.08721,0.00995
3.4365,0.0435,0.00285,0.01941,0.10093,0.0129
3.4655,0.0435,0.00238,0.00799,0.10176,0.01524
3.4945,0.0435,0.00199,-0.00332,0.09647,0.01519
3.5235,0.0435,0.00182,-0.01461,0.07609,0.01151
3.5525,0.0435,0.00174,-0.02198,0.06262,0.00786
3.5815,0.0435,0.00171,-0.02761,0.05435,0.00279
3.6105,0.0435,0.00168,-0.03002,0.05132,-0.00104
3.6395,0.0435,0.00166,-0.03097,0.04859,-0.00309
3.6685,0.0435,0.00163,-0.02995,0.04654,-0.00438
3.6975,0.0435,0.00161,-0.02855,0.04556,-0.00466
3.7265,0.0435,0.00157,-0.02659,0.04371,-0.0043
3.7555,0.0435,0.00154,-0.02542,0.04438,-0.00339
3.7845,0.0435,0.00151,-0.02406,0.04292,-0.00165
3.8135,0.0435,0.00149,-0.02401,0.04479,-0.00094
3.8425,0.0435,0.00147,-0.02452,0.04677,-0.00026
3.8715,0.0435,0.00146,-0.02524,0.04915,5e-05
3.9005,0.0435,0.00145,-0.02635,0.05165,0.00038
3.9295,0.0435,0.00144,-0.02773,0.05414,0.0007
3.9585,0.0435,0.00143,-0.02925,0.05669,0.00092
3.9875,0.0435,0.00143,-0.03144,0.05934,0.00114
4.0165,0.0435,0.00142,-0.033,0.06154,0.00124
4.0455,0.0435,0.00142,-0.03487,0.06367,0.00134
4.0745,0.0435,0.00141,-0.0368,0.06557,0.00141
4.1035,0.0435,0.00141,-0.03851,0.06736,0.00148
4.1325,0.0435,0.0014,-0.04033,0.0687,0.0016
4.1615,0.0435,0.0014,-0.04216,0.06998,0.00174
4.1905,0.0435,0.00139,-0.04415,0.07125,0.00182
4.2195,0.0435,0.00139,-0.04574,0.07181,0.00192
4.2485,0.0435,0.00138,-0.04751,0.07234,0.00211
4.2775,0.0435,0.00138,-0.04906,0.07232,0.00225
4.3065,0.0435,0.00137,-0.05044,0.0719,0.00236
4.3355,0.0435,0.00137,-0.05091,0.0717,0.00212
4.3645,0.0435,0.00136,-0.05097,0.07085,0.00169
4.3935,0.0435,0.00136,-0.05152,0.06958,0.0015
4.4225,0.0435,0.00135,-0.05097,0.06806,0.00079
4.4515,0.0435,0.00135,-0.04991,0.06726,-0.00033
4.4805,0.0435,0.00134,-0.04793,0.06727,-0.00226
4.5095,0.0435,0.00134,-0.04615,0.06662,-0.0037
4.5385,0.0435,0.00133,-0.04342,0.06729,-0.0061
4.5675,0.0435,0.00133,-0.04065,0.06913,-0.0093
4.5965,0.0435,0.00133,-0.03711,0.07197,-0.01254
